GDAY_DS,T_ID,P_ID,TB_SC,PA-AB,AB,RUN,RBI,HIT,SH+SF,KK,AVG,SB_trial,BABIP
2016-04-01,HH,60404,T,0,1,0,0,1,0,0,1.0,0,1.0
2016-04-01,LG,61102,B,0,3,0,0,0,0,2,0.0,0,0.0
2016-04-01,LG,61186,B,0,4,2,2,3,0,1,0.75,1,1.0
2016-04-01,LG,62164,B,1,0,0,0,0,0,0,0.0,0,0.0
2016-04-01,HH,62700,T,0,2,1,0,1,0,0,0.5,0,0.5
2016-04-01,LG,63077,B,0,0,0,0,0,0,0,0.0,0,0.0
2016-04-01,LG,63123,B,1,2,0,0,0,0,1,0.0,0,0.0
2016-04-01,HH,64086,T,2,4,0,0,0,1,3,0.0,0,0.0
2016-04-01,LG,64153,B,0,1,0,1,1,0,0,1.0,0,1.0
2016-04-01,LG,65103,B,0,5,0,1,1,0,0,0.2,0,0.2
2016-04-01,LG,65115,B,0,1,0,0,0,0,0,0.0,0,0.0
2016-04-01,HH,66740,T,0,6,0,0,2,0,0,0.3333333333333333,0,0.3333333333333333
2016-04-01,HH,71347,T,0,6,1,1,0,0,2,0.0,0,0.0
2016-04-01,HH,71610,T,0,1,0,0,0,0,1,0.0,0,0.0
2016-04-01,HH,71752,T,0,6,0,2,1,0,1,0.16666666666666666,0,0.2
2016-04-01,LG,71842,B,0,2,0,0,0,0,1,0.0,0,0.0
2016-04-01,LG,72133,B,0,5,0,0,0,0,0,0.0,0,0.0
2016-04-01,HH,73136,T,1,4,0,1,4,1,0,1.0,0,1.0
2016-04-01,HH,74729,T,0,6,0,0,2,0,2,0.3333333333333333,0,0.5
2016-04-01,LG,74823,B,2,4,1,0,1,1,0,0.25,1,0.25
2016-04-01,HH,75808,T,2,4,2,0,2,0,0,0.5,0,0.5
2016-04-01,LG,76100,B,0,5,0,0,2,0,2,0.4,1,0.6666666666666666
2016-04-01,LG,78217,B,0,0,1,0,0,0,0,0.0,0,0.0
2016-04-01,LG,79150,B,0,5,0,0,0,0,3,0.0,0,0.0
2016-04-01,LG,79192,B,0,1,0,0,0,0,0,0.0,0,0.0
2016-04-01,LG,79198,B,0,0,0,0,0,0,0,0.0,0,0.0
2016-04-01,HH,95158,T,0,2,0,0,0,0,1,0.0,0,0.0
2016-04-01,HH,98144,T,1,4,0,0,0,1,0,0.0,0,0.0
2016-04-01,LG,99606,B,1,4,1,0,1,0,1,0.25,0,0.3333333333333333
2016-04-01,HT,61743,T,0,3,0,0,0,0,2,0.0,0,0.0
2016-04-01,NC,62907,B,0,3,0,0,0,0,3,0.0,0,0.0
2016-04-01,NC,62934,B,1,3,1,0,1,0,2,0.3333333333333333,0,1.0
2016-04-01,NC,62947,B,0,4,0,0,1,0,0,0.25,0,0.25
2016-04-01,HT,64646,T,0,0,0,0,0,0,0,0.0,0,0.0
2016-04-01,HT,64699,T,0,4,2,0,2,0,0,0.5,0,0.5
2016-04-01,NC,64914,B,0,4,2,2,2,0,1,0.5,0,0.5
2016-04-01,HT,65653,T,0,1,0,0,0,0,1,0.0,0,0.0
2016-04-01,HT,70410,T,1,3,1,0,0,0,0,0.0,0,0.0
2016-04-01,HT,70756,T,1,3,0,0,2,0,0,0.6666666666666666,0,0.6666666666666666
2016-04-01,HT,71207,T,0,4,0,2,1,0,0,0.25,0,0.25
2016-04-01,HT,72303,T,1,3,0,0,0,0,1,0.0,0,0.0
2016-04-01,NC,73213,B,1,3,0,1,2,0,0,0.6666666666666666,0,0.6666666666666666
2016-04-01,NC,73306,B,1,0,0,0,0,1,0,0.0,0,0.0
2016-04-01,NC,73339,B,2,2,0,0,0,0,1,0.0,0,0.0
2016-04-01,NC,74223,B,0,1,0,0,0,0,0,0.0,0,0.0
2016-04-01,NC,74465,B,1,3,1,0,1,0,1,0.3333333333333333,0,0.5
2016-04-01,HT,74605,T,0,5,0,0,1,0,2,0.2,0,0.3333333333333333
2016-04-01,NC,77454,B,0,0,0,0,0,0,0,0.0,0,0.0
2016-04-01,NC,78122,B,0,3,0,0,1,0,0,0.3333333333333333,0,0.3333333333333333
2016-04-01,HT,78629,T,0,2,0,0,0,0,1,0.0,0,0.0
2016-04-01,HT,78643,T,1,3,1,1,2,0,1,0.6666666666666666,0,1.0
2016-04-01,HT,78765,T,0,3,0,0,0,0,2,0.0,0,0.0
2016-04-01,NC,94629,B,0,4,1,2,1,0,1,0.25,0,0.0
2016-04-01,KT,64006,T,0,0,0,0,0,0,0,0.0,1,0.0
2016-04-01,KT,64007,T,0,0,0,0,0,0,0,0.0,0,0.0
2016-04-01,SK,66805,B,0,4,1,3,1,0,1,0.25,0,0.0
2016-04-01,KT,70553,T,0,4,1,2,2,0,0,0.5,0,0.5
2016-04-01,KT,70646,T,2,3,0,1,0,1,1,0.0,0,0.0
2016-04-01,SK,71837,B,0,4,0,0,0,0,1,0.0,0,0.0
